hcal_mask,S,Y,E,tracker_k,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour
1,0,0,0,0,145857.53436962137,203768.01955726932,173700.18495369866,174008.4381798238,173087.92826591933,0.3192524662276298,20.431621965988327,10.227843493328496,10.267027613022426,10.150709256640324
1,0,0,0,1,167.30720392694914,237.91112644784653,201.69448295736427,202.02511843501227,201.0373934103705,0.23805247736984547,0.3378249104572596,0.28664842130870316,0.2871953981056441,0.2855659527201395
1,0,0,0,2,1002.652049246142,1425.4396522108204,1208.7350339809573,1211.0339576725976,1204.1740039609822,0.1600569988925805,0.2283926727387117,0.19342765396204595,0.19381625541842412,0.19265849227924853
1,0,0,0,3,53.95933658064702,77.16728418310959,65.30043632415217,65.42134115889681,65.06037602761705,0.05060538811905439,0.07221978915186611,0.06116423046811575,0.06128301481524742,0.06092919548341773
1,0,0,0,4,221.8280444774344,318.2077199217424,269.0040727460628,269.55529842021275,267.9108723845213,0.01739141317021215,0.02483415083643217,0.02102632567992986,0.02106394787302704,0.02095183347978033
1,0,0,1,0,1183.3921457867257,1669.9259697535442,1419.5286155580984,1431.4792617330966,1396.17091148286,0.1129457772984167,0.15960159639507096,0.13560573807103804,0.13675082337726593,0.1333676012987361
1,0,0,1,1,4.518430269390663,6.384896358606454,5.424654577498938,5.471480209211343,5.33322102502882,0.006250063766468066,0.008824820870741205,0.007498644933546855,0.00756698740037289,0.007365371478364549
1,0,0,1,2,12.209168943720716,17.24310881992806,14.651974582960431,14.780779939008045,14.400549216264494,0.006480682551818033,0.00914318671521303,0.007770730553237176,0.007843499676639911,0.007628741975239104
1,0,0,1,3,3.1355527293864878,4.4298124149933,3.7637381476133314,3.7967533575187886,3.699291995953235,0.005347811500013131,0.0075599902573950575,0.006422200381885703,0.006477347478313887,0.006314442756581028
1,0,0,1,4,30.95803724747608,43.71999601801335,37.14908255819131,37.48179343342629,36.499904945914395,0.0025592501999660983,0.003617694536829884,0.0030733522490051183,0.0030995014116965707,0.0030222566594091454
1,0,1,0,0,142.79311443258507,203.95654989128022,172.69807758953192,173.0786457269328,171.94346159419908,0.03913488294557023,0.0563254181329507,0.04756533199421377,0.04768014500329791,0.04733754260169762
1,0,1,0,1,6.746071293304421,9.670902183198491,8.178436507076666,8.197554106944287,8.140526056343779,0.01388364695577739,0.019967509794827906,0.01686599885747977,0.016905472972876694,0.01678775663138692
1,0,1,0,2,33.297262426095294,47.78059738021522,40.39334405561743,40.490614746662345,40.20040306490808,0.008610308000789208,0.012391436293536668,0.01046407641722032,0.010488278730991887,0.010416093237726375
1,0,1,0,3,2.355951338432316,3.3867840325324625,2.861330981086411,2.868407025529452,2.8472916482683637,0.0034440301722245244,0.004957034623045308,0.004185900960568498,0.004195817059173513,0.004166233457395733
1,0,1,0,4,20.552842937951713,29.56038874644856,24.97015041275926,25.0344679418298,24.84253227148914,0.0021622489773274133,0.003110555253163845,0.0026272173574254268,0.0026335818229184437,0.0026145952171047963
1,0,1,1,0,4.30963356562678,6.081808876729267,5.169209035401169,5.214888453694842,5.080038469063808,0.003424992854455166,0.00483353578250505,0.00410818568322383,0.004144555384073051,0.004037194378615046
1,0,1,1,1,0.9943502926938743,1.403448532286136,1.1927771955586088,1.2033792165162591,1.1720848084724906,0.0035457109884593045,0.0050039225396506775,0.004252938054208002,0.004290795637431584,0.004179051158974114
1,0,1,1,2,6.030942838651889,8.511898849974095,7.234118385848701,7.298947540346198,7.107613695864719,0.004423270981817471,0.006245237371971722,0.0053070196563374805,0.005354615463607941,0.00521414170314995
1,0,1,1,3,1.007184950141884,1.421574555269597,1.2081307259511895,1.2190376061870616,1.186851623504765,0.0053421460732548266,0.007536695450656268,0.006405811747103263,0.0064645342803660525,0.006291283157401904
1,0,1,1,4,13.926453674875038,19.655320964465222,16.703729596200763,16.856908101253836,16.404978578675895,0.0033631072603145192,0.004742732843461388,0.004031532756306414,0.004068898028355511,0.0039586584656363805
1,1,0,0,0,-1.6653345369377348e-16,-8.326672684688674e-16,-9.43689570931383e-16,4.440892098500626e-16,-5.551115123125783e-16,5.100643314345708e-16,4.063000240203118e-16,5.13504939286403e-16,3.460315245335985e-16,4.728932012920865e-16
1,1,0,0,1,-6.661338147750939e-16,2.4424906541753444e-15,2.4424906541753444e-15,-1.3322676295501878e-15,1.3322676295501878e-15,1.4608731925326084e-15,1.058253631874825e-15,1.4217791915866692e-15,9.930136612989092e-16,1.3322676295501877e-15
1,1,0,0,2,0.0,-8.881784197001252e-16,-1.3322676295501878e-15,4.440892098500626e-16,-8.881784197001252e-16,5.814492627002973e-16,5.814492627002973e-16,6.500800384324988e-16,4.440892098500626e-16,5.814492627002973e-16
1,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,4,2.2203209349658426,3.1965452069871745,2.6991429108167373,2.7059291902577085,2.685671182587259,0.0003455009080878303,0.0004975861205861801,0.0004201022945012052,0.00042115677520317954,0.000418008334433307
1,1,0,1,0,-1.6653345369377348e-16,-4.996003610813204e-16,7.216449660063518e-16,2.220446049250313e-16,-4.996003610813204e-16,5.100643314345708e-16,5.960298103993504e-16,2.7755575615628914e-16,4.893624750040534e-16,3.504558515449071e-16
1,1,0,1,1,-6.661338147750939e-16,1.5543122344752192e-15,-2.4424906541753444e-15,-4.440892098500626e-16,1.9984014443252818e-15,1.4608731925326084e-15,1.590151230943435e-15,9.45786402584173e-16,1.7999901200166977e-15,1.4018234061796284e-15
1,1,0,1,2,0.0,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,-6.661338147750939e-16,5.814492627002973e-16,8.049800534370683e-16,3.3569988834012605e-16,6.224042510065565e-16,4.672744687265428e-16
1,1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,4,2.140963025208904,3.020891808290589,2.5673297296658335,2.5913886197565694,2.5204220549887175,0.00045539032371073206,0.0006427163683447525,0.0005461814897955337,0.0005512635036890488,0.000536276353167063
1,1,1,0,0,4.163336342344337e-16,-5.551115123125783e-17,-2.7755575615628914e-16,-2.7755575615628914e-16,4.163336342344337e-16,2.0743861167727382e-16,5.657159447879465e-16,3.7707911168031787e-16,3.7707911168031787e-16,2.601589531474007e-16
1,1,1,0,1,-1.2212453270876722e-15,1.1102230246251565e-15,8.881784197001252e-16,8.881784197001252e-16,-9.992007221626409e-16,5.551115123125783e-16,1.4989479309475657e-15,9.038996122241147e-16,9.038996122241147e-16,6.152908259487467e-16
1,1,1,0,2,4.440892098500626e-16,-2.220446049250313e-16,-4.440892098500626e-16,-4.440892098500626e-16,4.440892098500626e-16,2.9072463135014863e-16,6.224042510065565e-16,4.440892098500626e-16,4.440892098500626e-16,2.9072463135014863e-16
1,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,4,1.5731995236238026,2.262085710769596,1.9111383948634593,1.9166314101702397,1.9002480446865682,0.0004721608942220928,0.0006789890111502854,0.0005736230845250007,0.0005752618368275028,0.000570374375368629
1,1,1,1,0,8.326672684688674e-17,3.3306690738754696e-16,3.608224830031759e-16,-1.3877787807814457e-16,4.440892098500626e-16,2.550321657172854e-16,5.799330951582699e-16,2.217966488399542e-16,3.4840868684095046e-16,3.560635012333049e-16
