trigger,geometric_per_hour,geometric_se_per_hour,no_roof_per_hour,no_roof_se_per_hour,concrete_per_hour,concrete_se_per_hour
any_layer_stations_1,823217.2613086858,85.67385646658667,1154603.8307550026,110.03241541127967,982345.716516029,93.47546247646183
any_layer_stations_2,625176.873530185,90.97064912459767,874063.9759646275,141.20386002617357,744714.4098252873,119.26335982703127
any_layer_stations_3,264086.7637107185,125.98673853574367,374318.4417233006,178.17013301291806,317685.5802907316,151.29029686372485
any_layer_stations_4,859922.4222729554,67.02285852630327,1198738.870973168,93.32778690487626,1022514.3415286373,78.83619739972112
any_layer_stations_5,244306.553770187,62.334938671837044,345663.18426030705,89.32952225614724,293646.6839240508,75.51506659876813
any_layer_stations_6,416123.3223057771,85.09076330989951,582351.5538106125,117.49390905919846,496350.2981812413,100.49797828103173
any_layer_stations_7,193988.2510297487,83.39702563417784,274103.77610211784,116.92468942394446,232977.3173670407,99.5249372495315
layer_0,485305.45363103447,4.431480570404326,680642.3160659136,20.003310845649096,579103.1845685475,13.455508625394888
layer_1,485305.71403315745,3.3421937854703794,679878.9158291052,4.9138726602797975,578774.9627678072,3.8955432081628074
layer_14,326170.78585448803,3.0819287750122175,456383.0836973545,4.972411298605457,388750.73713157675,3.899744322288045
layer_15,326176.4503540575,3.0787726202921255,456205.49005626584,71.79680576831937,388668.485740836,33.13259244517868
layer_16,326169.15843723086,3.731744641128894,454763.67499204713,6.540178587377875,387985.93930362037,5.440015099900898
layer_17,326176.26171307877,3.2976848674938046,454561.1918906549,5.840794915403852,387872.6882403117,4.421370596070539
layer_22,485299.91479766206,2.0623953489125535,676339.7757453461,10.114377236425806,576983.2748530577,7.149877573042893
layer_23,485294.6496400059,3.528032862473699,675818.7456064282,15.705490994398783,576690.4732292636,10.022228363139172
layer_24,485300.1366804791,1.5729269769589211,674094.7463498241,17.057920402557137,575801.8599572565,9.331438666842303
layer_25,485302.11307237,2.552249562840245,673666.0707413151,34.250977870404434,575530.3889372887,17.095355965408455
any_station,1577788.1683548926,192.84081448309684,2199177.274000695,284.24643678031583,1874869.2228409701,236.68795612539893
at_least_two_stations,536540.1377271853,302.52440944595537,754125.6275899843,422.61523561680485,641727.9276619424,360.0194765901714
strict_any_station,299910.83036166424,9.814207788109465,415905.27535247745,25.629813194309484,355404.08542661835,16.52622818621341
strict_at_least_two_stations,32672.706870782167,10.410124685781017,45792.76217202077,14.678510083540237,39004.88174465649,12.483766399209093
