id,hcal_mask,S,Y,E,tracker_mask,requirements,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour,mean_column_g_cm2,mean_zenith_deg
1,1,0,0,0,0,H_T,147303.28100385255,205826.74534003282,175444.9189797072,175756.4738955105,174826.11091170282,0.2726504781872604,20.38788134251878,10.190551568539032,10.229599653990684,10.113689097791816,5.77353117610763,33.67885308333472
9,1,1,0,0,0,H_T+S,2.2203209349658426,3.1965452069871745,2.6991429108167373,2.7059291902577085,2.685671182587259,0.0003455009080878303,0.0004975861205861801,0.0004201022945012052,0.00042115677520317954,0.000418008334433307,5.898945172369457,3.3741716213706945
17,1,0,1,0,0,H_T+Y,205.74524242836884,294.35522223367497,249.1013395460717,249.66968954789866,247.97421463520845,0.03406214836302565,0.049003628654024696,0.04138813384828723,0.04148666668940021,0.041192604181183666,5.692177129544703,17.548195651733128
25,1,1,1,0,0,H_T+S+Y,1.5731995236238026,2.262085710769596,1.9111383948634593,1.9166314101702397,1.9002480446865682,0.0004721608942220928,0.0006789890111502854,0.0005736230845250007,0.0005752618368275028,0.000570374375368629,6.743565381174701,3.1020032497120646
33,1,0,0,1,0,H_T+E,1234.2133349766996,1741.7037833650854,1480.5180654243625,1493.0100686722608,1456.103878666021,0.11394373128478327,0.1609981657802317,0.13679567943807458,0.13795316224407114,0.1345333734490828,20.308696055692977,10.624954489007484
41,1,1,0,1,0,H_T+S+E,2.140963025208904,3.020891808290589,2.5673297296658335,2.5913886197565694,2.5204220549887175,0.00045539032371073206,0.0006427163683447525,0.0005461814897955337,0.0005512635036890488,0.000536276353167063,22.078566744577095,3.253029092230521
49,1,0,1,1,0,H_T+Y+E,26.26856532198946,37.07405177872432,31.50796493896043,31.793160917998193,30.951567175581683,0.0022435477529312866,0.003165225847610075,0.0026903534901368863,0.0027147568393236865,0.0026427170502562576,21.437310525804087,6.157043713875842
57,1,1,1,1,0,H_T+S+Y+E,1.5502073697818837,2.18695993699186,1.8586738511267125,1.8762333658337083,1.8244417663477144,0.000451611676261209,0.0006371839846415802,0.0005415152464170366,0.0005466307167675263,0.0005315444017107998,22.254963345968076,3.051429073669059
65,1,0,0,0,1,H_T+T1,899.9954415727424,1281.0506897827286,1085.8180001500407,1087.897177501684,1081.6925381142426,0.024578280856847157,0.03516714978367054,0.029756411493484472,0.029809256587050074,0.029651656792635376,5.052685817153056,23.384569477710617
73,1,1,0,0,1,H_T+S+T1,2.2203209349658426,3.1965452069871745,2.6991429108167373,2.7059291902577085,2.685671182587259,0.0003455009080878303,0.0004975861205861801,0.0004201022945012052,0.00042115677520317954,0.000418008334433307,5.898945172369457,3.3741716213706945
81,1,0,1,0,1,H_T+Y+T1,21.206884351599836,30.500845322331827,25.76461725371899,25.830887933187523,25.633123981059406,0.0014324894430542776,0.002061614908680638,0.001740929293013987,0.0017448795142880338,0.0017330943932871682,6.075687797228936,6.5571813661419265
89,1,1,1,0,1,H_T+S+Y+T1,1.5731995236238026,2.262085710769596,1.9111383948634593,1.9166314101702397,1.9002480446865682,0.0004721608942220928,0.0006789890111502854,0.0005736230845250007,0.0005752618368275028,0.000570374375368629,6.743565381174701,3.1020032497120646
97,1,0,0,1,1,H_T+E+T1,34.990605337843334,49.4195629889636,41.99105787851272,42.36577305015827,41.25987353385693,0.0017072770453386474,0.0024064839367189035,0.002045856519707756,0.002065156103791088,0.002008242845688065,21.054466108276575,4.448144480120792
105,1,1,0,1,1,H_T+S+E+T1,2.140963025208904,3.020891808290589,2.5673297296658335,2.5913886197565694,2.5204220549887175,0.00045539032371073206,0.0006427163683447525,0.0005461814897955337,0.0005512635036890488,0.000536276353167063,22.078566744577095,3.253029092230521
113,1,0,1,1,1,H_T+Y+E+T1,14.25411509657897,20.117831808875508,17.096787180703483,17.253506747815486,16.791127501119938,0.002731048635109015,0.0038507293074312985,0.003273439651635194,0.0033039251223874835,0.0032139904653626563,21.646740268035995,4.801806932655984
121,1,1,1,1,1,H_T+S+Y+E+T1,1.5502073697818837,2.18695993699186,1.8586738511267125,1.8762333658337083,1.8244417663477144,0.000451611676261209,0.0006371839846415802,0.0005415152464170366,0.0005466307167675263,0.0005315444017107998,22.254963345968076,3.051429073669059
129,1,0,0,0,2,H_T+T2,888.2016010965926,1264.4423733451047,1071.70538830437,1073.7860633000391,1067.5774614724914,0.11787101435388564,0.16826080536563098,0.14250377619777294,0.14282572574045693,0.14186631631474056,5.112388371297526,23.19876809431114
137,1,1,0,0,2,H_T+S+T2,2.2203209349658426,3.1965452069871745,2.6991429108167373,2.7059291902577085,2.685671182587259,0.0003455009080878303,0.0004975861205861801,0.0004201022945012052,0.00042115677520317954,0.000418008334433307,5.898945172369457,3.3741716213706945
145,1,0,1,0,2,H_T+Y+T2,22.256024408912015,32.00854768044644,27.038560686834863,27.108004720364335,26.900771183972058,0.0008880426874490749,0.0012807228745173678,0.0010806366148798736,0.001083036799387253,0.0010758781566939989,6.069379740071068,6.716250755907989
153,1,1,1,0,2,H_T+S+Y+T2,1.5731995236238026,2.262085710769596,1.9111383948634593,1.9166314101702397,1.9002480446865682,0.0004721608942220928,0.0006789890111502854,0.0005736230845250007,0.0005752618368275028,0.000570374375368629,6.743565381174701,3.1020032497120646
161,1,0,0,1,2,H_T+E+T2,35.51110964848899,50.15434987780233,42.615497185926756,42.99579297487751,41.87342311539302,0.0030720606960998177,0.004337265604598849,0.003685758144932876,0.00371869927886876,0.0036214003689852363,21.05627352789949,4.481215661669661
169,1,1,0,1,2,H_T+S+E+T2,2.140963025208904,3.020891808290589,2.5673297296658335,2.5913886197565694,2.5204220549887175,0.00045539032371073206,0.0006427163683447525,0.0005461814897955337,0.0005512635036890488,0.000536276353167063,22.078566744577095,3.253029092230521
