hcal_mask,S,Y,E,tracker_k,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour
1,0,0,0,0,147303.28100385255,205826.74534003282,175444.9189797072,175756.4738955105,174826.11091170282,0.2726504781872604,20.38788134251878,10.190551568539032,10.229599653990684,10.113689097791816
1,0,0,0,1,1445.7466342311727,2058.725782763519,1744.7340260085361,1748.0357156867194,1738.1826457834911,0.14872080092691892,0.2106221541508745,0.17884340828588843,0.1791694575288463,0.1781976508873872
1,0,0,0,2,1278.4394303042234,1820.8146563156722,1543.0395430511721,1546.0105972517072,1537.1452523731205,0.14060192866446408,0.20053068626780696,0.16986030265572627,0.17019764131172438,0.16919243149747384
1,0,0,0,3,275.7873810580814,395.37500410485205,334.304509070215,334.9766395791096,332.9712484121384,0.0350037040308461,0.0499440870522444,0.04230325484836376,0.04238864450939836,0.0421343232571361
1,0,0,0,4,221.8280444774344,318.2077199217424,269.0040727460628,269.55529842021275,267.9108723845213,0.01739141317021215,0.02483415083643217,0.02102632567992986,0.02106394787302704,0.02095183347978033
1,0,0,1,0,1234.2133349766996,1741.7037833650854,1480.5180654243625,1493.0100686722608,1456.103878666021,0.11394373128478327,0.1609981657802317,0.13679567943807458,0.13795316224407114,0.1345333734490828
1,0,0,1,1,50.82118918997395,71.77781361154115,60.989449866264,61.530806939164464,59.93296718316094,0.004704079756101772,0.006649939682045402,0.00564911001659141,0.005697602784890548,0.005554447040571145
1,0,0,1,2,46.30275892058327,65.39291725293472,55.56479528876507,56.05932672995311,54.59974615813213,0.00364756224580295,0.005142683652505948,0.00437140491956273,0.004413478944428073,0.0042894194208240284
1,0,0,1,3,34.093589976862575,48.14980843300664,40.912820705804634,41.278546790945086,40.19919694186763,0.003951842343934423,0.005582304739207033,0.004743030625405515,0.004785033253407453,0.00466097137753127
1,0,0,1,4,30.95803724747608,43.71999601801335,37.14908255819131,37.48179343342629,36.499904945914395,0.0025592501999660983,0.003617694536829884,0.0030733522490051183,0.0030995014116965707,0.0030222566594091454
1,0,1,0,0,205.74524242836884,294.35522223367497,249.1013395460717,249.66968954789866,247.97421463520845,0.03406214836302565,0.049003628654024696,0.04138813384828723,0.04148666668940021,0.041192604181183666
1,0,1,0,1,62.95212799578375,90.39867234239475,76.40326195653977,76.59104382096588,76.03075304100936,0.008211745826274045,0.01180720370707718,0.009973852586477306,0.009996262542056265,0.009929442635140312
1,0,1,0,2,56.20605670247932,80.72777015919625,68.22482544946311,68.39348971402158,67.89022698466557,0.007342353011072266,0.010563221471439295,0.008921372118834788,0.00894215466187131,0.008880159547006642
1,0,1,0,3,22.908794276384036,32.94717277898103,27.831481393845667,27.902874967359253,27.689823919757508,0.001761894172602311,0.002538722196487056,0.0021428333039287483,0.002147702301781923,0.0021331820513465476
1,0,1,0,4,20.552842937951713,29.56038874644856,24.97015041275926,25.0344679418298,24.84253227148914,0.0021622489773274133,0.003110555253163845,0.0026272173574254268,0.0026335818229184437,0.0026145952171047963
