ray,material,entry_mm,length_mm,path
4,Scintillator,1725.95805794,20.0457359634,World/hcal_below_ecal/hcal_below_ecal_layer2_strip5
4,Scintillator,1749.53626759,20.0457359634,World/hcal_below_ecal/hcal_below_ecal_layer3_strip6
4,Scintillator,1773.11447724,20.0457359634,World/hcal_below_ecal/hcal_below_ecal_layer4_strip5
4,Aluminum3003,1701.87870489,0.501143399085,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
4,Aluminum3003,1725.45691454,0.501143399085,World/hcal_below_ecal/hcal_below_ecal_cover_2_placement
4,Aluminum3003,1749.03512419,0.501143399085,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
4,Aluminum3003,1772.61333384,0.501143399085,World/hcal_below_ecal/hcal_below_ecal_cover_4_placement
5,Polyvinyltoluene,859.976868705,2.00364608907,World/native_target/trigger_pad3_bar_volume_17
5,Polyvinyltoluene,857.144381082,0.828841533811,World/native_target/trigger_pad3_bar_volume_18
5,LYSO,934.612685523,0.60109382672,World/native_target/lvTarget_3/lvTargetArray1_phys/target_0
5,LYSO,935.414143959,0.60109382672,World/native_target/lvTarget_3/lvTargetArray2_phys/target_0
5,Polyvinyltoluene,629.95829768,2.00364608907,World/native_trig_scint/trigger_pad2_bar_volume_11
5,Polyvinyltoluene,550.613912553,2.00364608907,World/native_trig_scint/trigger_pad1_bar_volume_10
5,Polyvinyltoluene,556.250219025,0.374631795118,World/native_trig_scint/trigger_pad1_bar_volume_11
5,Polyvinyltoluene,625.951005502,2.00364608907,World/native_trig_scint/trigger_pad2_bar_volume_12
5,Silicon,691.209758623,0.320583374251,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
5,Silicon,697.22069689,0.320583374251,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
5,Silicon,791.392063076,0.320583374251,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
5,Silicon,797.403001344,0.320583374251,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
5,Scintillator,231.710657726,20.0364608907,World/hcal_top/hcal_top_layer1_strip5
5,Scintillator,255.124847191,20.0364608907,World/hcal_top/hcal_top_layer2_strip5
5,Aluminum3003,231.209746203,0.500911522267,World/hcal_top/hcal_top_cover_1_placement
5,Aluminum3003,254.623935669,0.500911522267,World/hcal_top/hcal_top_cover_2_placement
5,Scintillator,1195.83023505,20.0364608907,World/hcal_above_ecal/hcal_above_ecal_layer1_strip2
5,Scintillator,1221.27654039,20.0364608907,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
5,Scintillator,1246.72284572,20.0364608907,World/hcal_above_ecal/hcal_above_ecal_layer3_strip2
5,Scintillator,1272.16915105,20.0364608907,World/hcal_above_ecal/hcal_above_ecal_layer4_strip4
5,Aluminum3003,1195.32932353,0.500911522267,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
