HGCROC,Channel,CMB,Quadbar,Bar,Plane,Cable
4,5,2,1,2,12,122
4,6,2,1,3,12,122
4,7,2,1,4,12,122
4,9,3,2,4,12,123
4,10,3,2,3,12,123
4,11,3,2,2,12,123
4,12,3,2,1,12,123
4,13,4,2,1,12,124
4,14,4,2,2,12,124
4,15,4,2,3,12,124
4,16,4,2,4,12,124
4,18,5,3,4,12,125
4,19,5,3,3,12,125
4,20,5,3,2,12,125
4,21,5,3,1,12,125
4,22,6,3,1,12,126
4,23,6,3,2,12,126
4,24,6,3,3,12,126
4,25,6,3,4,12,126
4,27,7,1,4,13,131
4,28,7,1,3,13,131
4,29,7,1,2,13,131
4,30,7,1,1,13,131
4,31,8,1,1,13,132
4,32,8,1,2,13,132
4,33,8,1,3,13,132
4,34,8,1,4,13,132
4,36,9,2,4,13,133
4,37,9,2,3,13,133
4,38,9,2,2,13,133
4,39,9,2,1,13,133
4,40,10,2,1,13,134
4,41,10,2,2,13,134
4,42,10,2,3,13,134
4,43,10,2,4,13,134
4,45,11,3,4,13,135
4,46,11,3,3,13,135
4,47,11,3,2,13,135
4,48,11,3,1,13,135
4,49,12,3,1,13,136
4,50,12,3,2,13,136
4,51,12,3,3,13,136
4,52,12,3,4,13,136
4,54,13,1,4,14,141
4,55,13,1,3,14,141
4,56,13,1,2,14,141
4,57,13,1,1,14,141
4,58,14,1,1,14,142
4,59,14,1,2,14,142
4,60,14,1,3,14,142
4,61,14,1,4,14,142
4,63,15,2,4,14,143
4,64,15,2,3,14,143
4,65,15,2,2,14,143
4,66,15,2,1,14,143
4,67,16,2,1,14,144
4,68,16,2,2,14,144
4,69,16,2,3,14,144
4,70,16,2,4,14,144
5,0,1,3,4,14,145
5,1,1,3,3,14,145
5,2,1,3,2,14,145
5,3,1,3,1,14,145
5,4,2,3,1,14,146
5,5,2,3,2,14,146
5,6,2,3,3,14,146
5,7,2,3,4,14,146
5,9,3,1,4,15,151
5,10,3,1,3,15,151
5,11,3,1,2,15,151
5,12,3,1,1,15,151
5,13,4,1,1,15,152
5,14,4,1,2,15,152
5,15,4,1,3,15,152
5,16,4,1,4,15,152
5,18,5,2,4,15,153
5,19,5,2,3,15,153
5,20,5,2,2,15,153
5,21,5,2,1,15,153
5,22,6,2,1,15,154
5,23,6,2,2,15,154
5,24,6,2,3,15,154
5,25,6,2,4,15,154
5,27,7,3,4,15,155
5,28,7,3,3,15,155
5,29,7,3,2,15,155
5,30,7,3,1,15,155
5,31,8,3,1,1,156
5,32,8,3,2,15,156
5,33,8,3,3,15,156
5,34,8,3,4,15,156
5,36,9,1,4,16,161
5,37,9,1,3,16,161
5,38,9,1,2,16,161
5,39,9,1,1,16,161
5,40,10,1,1,16,162
5,41,10,1,2,16,162
5,42,10,1,3,16,162
5,43,10,1,4,16,162
5,45,11,2,4,16,163
5,46,11,2,3,16,163
5,47,11,2,2,16,163
5,48,11,2,1,16,163
5,49,12,2,1,16,164
5,50,12,2,2,16,164
5,51,12,2,3,16,164
5,52,12,2,4,16,164
5,54,13,3,4,16,165
5,55,13,3,3,16,165
5,56,13,3,2,16,165
5,57,13,3,1,16,165
5,58,14,3,1,16,166
5,59,14,3,2,16,166
5,60,14,3,3,16,166
5,61,14,3,4,16,166
5,63,15,3,4,17,171
5,64,15,3,3,17,171
5,65,15,3,2,17,171
5,66,15,3,1,17,171
5,67,16,3,1,17,172
5,68,16,3,2,17,172
5,69,16,3,3,17,172
5,70,16,3,4,17,172
6,0,1,1,4,17,173
6,1,1,1,3,17,173
6,2,1,1,2,17,173
6,3,1,1,1,17,173
6,4,2,1,1,17,174
6,5,2,1,2,17,174
6,6,2,1,3,17,174
6,7,2,1,4,17,174
6,9,3,2,4,17,175
6,10,3,2,3,17,175
6,11,3,2,2,17,175
6,12,3,2,1,17,175
6,13,4,2,1,17,176
6,14,4,2,2,17,176
6,15,4,2,3,17,176
6,16,4,2,4,17,176
6,18,5,3,4,18,181
6,19,5,3,3,18,181
6,20,5,3,2,18,181
6,21,5,3,1,18,181
6,22,6,3,1,18,182
6,23,6,3,2,18,182
6,24,6,3,3,18,182
6,25,6,3,4,18,182
6,27,7,1,4,18,183
6,28,7,1,3,18,183
6,29,7,1,2,18,183
6,30,7,1,1,18,183
6,31,8,1,1,18,184
6,32,8,1,2,18,184
6,33,8,1,3,18,184
6,34,8,1,4,18,184
6,36,9,2,4,18,185
6,37,9,2,3,18,185
6,38,9,2,2,18,185
6,39,9,2,1,18,185
6,40,10,2,1,18,186
6,41,10,2,2,18,186
6,42,10,2,3,18,186
6,43,10,2,4,18,186
6,45,11,3,4,19,191
6,46,11,3,3,19,191
6,47,11,3,2,19,191
6,48,11,3,1,19,191
6,49,12,3,1,19,192
6,50,12,3,2,19,192
6,51,12,3,3,19,192
6,52,12,3,4,19,192
6,54,13,1,4,19,193
6,55,13,1,3,19,193
6,56,13,1,2,19,193
6,57,13,1,1,19,193
6,58,14,1,1,19,194
6,59,14,1,2,19,194
6,60,14,1,3,19,194
6,61,14,1,4,19,194
6,63,15,2,4,19,195
6,64,15,2,3,19,195
6,65,15,2,2,19,195
6,66,15,2,1,19,195
6,67,16,2,1,19,196
6,68,16,2,2,19,196
6,69,16,2,3,19,196
6,70,16,2,4,19,196
