0	10
1	0
2	8
3	6
4	4
5	2
100	3
101	11
102	9
103	5
104	7
105	1
200	22
201	12
202	20
203	18
204	16
205	14
300	15
301	23
302	21
303	17
304	19
305	13
410	10
411	0
412	8
413	6
414	4
415	2
510	3
511	11
512	9
513	5
514	7
515	1
610	22
611	12
612	20
613	18
614	16
615	14
710	15
711	23
712	21
713	17
714	19
715	13
820	10
821	0
822	8
823	6
824	4
825	2
920	3
921	11
922	9
923	5
924	7
925	1
1020	22
1021	12
1022	20
1023	18
1024	16
1025	14
1120	15
1121	23
1122	21
1123	17
1124	19
1125	13
1230	9
1231	7
1232	11
1233	3
1234	1
1235	5
1330	15
1331	23
1332	21
1333	17
1334	19
1335	13
