1,0,6,0;1;2;3;4;20,1567680,1
2,0,6,0;1;2;3;4;20,2340160,1
3,1109000000000,1,0,93668,1
4,1111000000000,1,0,93668,1
5,676606000000000,1,9,116228,1
6,4431304000000000,9,11;17;23;29;35;41;46;52;58,662976,1
7,11988328000000000,1,83,11276,1
8,11988330000000000,1,179,7180,1
9,11988331000000000,1,49,320048,1
10,11988333000000000,1,145,287280,1
11,60555360000000000,1,68,36,1
12,85721193000000000,1,156,264,1
13,136767932000000000,1,10,107868,1
14,148236634000000000,1,10,107892,1
15,276832337000000000,1,52,58416,1
16,276848721000000000,1,88,57172,1
17,276856913000000000,2,67;157,204316,1
18,276873297000000000,1,138,106440,1
19,276881489000000000,1,130,56512,1
20,316145677000000000,1,172,36,1
21,316932108000000000,1,76,260,1
22,320602139000000000,1,48,112,1
23,321650710000000000,1,40,48,1
24,322175004000000000,1,152,264,1
25,323485788000000000,1,20,36,1
26,323747932000000000,1,20,40,1
27,326369315000000000,1,204,264,1
28,328204321000000000,1,252,264,1
29,332136483000000000,1,124,264,1
30,333185127000000000,1,188,36,1
31,339476512000000000,1,184,264,1
32,341049438000000000,1,108,36,1
33,359137304000000000,1,144,264,1
34,520761760000000000,1,243,10220,1
35,521032680000000000,1,243,10220,1
36,521445488000000000,1,243,10220,1
37,521796744000000000,1,243,10220,1
38,521799880000000000,1,243,10220,1
39,523045824000000000,1,243,10220,1
40,525385976000000000,1,243,10220,1
41,536608783000000000,1,172,32,1
42,536864776000000000,1,236,53536,1
43,542188885000000000,1,232,5296,1
44,542189573000000000,1,170,5328,1
45,542218745000000000,1,12,5296,1
46,590872602000000000,1,60,264,1
47,591134742000000000,1,76,84,1
48,592183335000000000,1,232,40,1
49,596377631000000000,1,72,264,1
50,597426210000000000,1,148,264,1
51,597426212000000000,1,136,36,1
52,599523421000000000,1,36,40,1
53,607387739000000000,1,28,36,1
54,608960525000000000,1,48,220,1
55,625475598000000000,1,172,200,1
56,638844952000000000,1,140,264,1
57,805044238000000000,1,152,520,1
58,849608717000000000,1,196,236,1
59,857210914000000000,1,220,32,1
60,859045901000000000,1,140,160,1
61,860094488000000000,1,140,264,1
62,860356624000000000,1,212,36,1
63,861405197000000000,1,212,160,1
64,861667342000000000,1,208,36,1
65,862191651000000000,1,208,40,1
66,862716019000000000,1,80,44,1
67,863764520000000000,1,92,264,1
68,864550942000000000,1,44,264,1
69,865861670000000000,1,212,264,1
70,866123809000000000,1,156,36,1
