theta_min,theta_max,p_min,p_max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,10.0,0.0,,14.86504758602666,14.510755490986822,17.035528938607225,20.010389410180572,23.908338225301744,25.49714420768722,29.99416463549814,30.767488875252234,35.29919042072839,35.43046483164032,38.85860933345863,38.66984728738934,41.689914926364,41.851000906593335,45.26019860805572,46.15970741940197,50.14667401317571,51.770442493274864,56.199234789196296,58.50328269745516,63.26406132525822,65.9558850456197,71.52839740313891,74.8598194332845,82.55626256507024,91.03267841973584,104.22372160159757,116.1498272250546,135.44243420085172,142.5473226451578,157.00821119065296,161.76400024960358
10.0,15.0,,,15.193104683674287,15.633446599686874,22.328458953851552,27.70493145692851,33.699742187416355,35.87927032286158,41.19401701874404,42.697170351428575,47.786028744231096,49.52986392398832,54.282609863582,55.908523834991826,60.27485211126489,62.21135413763539,66.87241883193572,69.28084618775327,74.1548708298561,76.72521574945283,82.22830949156958,85.17043296873263,91.52738952601429,94.96632673273629,103.21610600246953,107.6763531006507,120.49566478912566,137.44953941728517,155.4202813395362,168.60323743451116,180.8490370450453,198.04165117097529,198.54085927814612,210.07871328728316
15.0,25.0,,,16.723757408213732,17.92398268512366,29.59173400235636,38.69566429595935,48.17795425709584,53.05847736191056,61.077706295582736,64.71574622095282,71.87252097976736,75.468374239524,82.5171277022081,86.406362936139,93.65908389221961,97.92043655472715,105.20733927742039,110.16275963307275,117.7744241564064,123.38305328441277,132.04522661014033,138.03701013324414,147.38010433282102,152.5817312896842,167.0942789531724,173.69342413250422,190.17383079723132,203.82074250936415,224.08727578107687,243.52364082183283,258.70489220224005,262.6759009948909,270.1603707309147,279.6391471057264
25.0,30.0,,,19.31961048357774,21.444555329928185,39.35492414874874,53.60473117280861,69.1021218939773,79.12161665374003,92.64948659596483,100.27115287585903,113.34903343231197,122.11281798434798,136.16161603139477,146.08152436422603,160.7749557029294,170.08286115479103,185.08356852777814,193.7298799214786,206.92290551135105,215.60674084975165,228.27636490233743,237.0396241641056,251.89099754895867,257.7820545816109,269.1086087216118,282.76441400361585,288.5161306200909,307.20536800167287,321.7732505507909,328.18924056799875,343.9864145345938,363.6076711792093,368.360486293452,387.94648661433473
30.0,40.0,,,22.71429654626423,25.711745091896876,51.89701875249471,74.2470498718799,100.47776872655055,118.12896195570855,140.9997782694519,156.97569183383726,179.4383620237934,194.92292890005658,215.1487428312624,229.44025177351605,247.27616752564396,258.55671482809845,274.0233027389271,283.73034951215175,297.5712897883416,307.81576503273726,321.15011993080526,330.27032161235616,341.76866280331177,353.69304443117716,360.13341815936593,378.7199722456679,396.1803323481441,404.55213541187857,421.37339859245157,439.13141900165255,444.85335247136834,460.52329945313363,487.1733879243532,488.3029955594464
40.0,50.0,,,33.34843131875983,39.86094080562418,88.6997863490506,136.60066587533504,185.1944536993552,215.0009884120068,249.94735781052609,271.3544245466255,297.22472053827005,312.8989620895022,334.5305996749867,347.5534105367975,366.2815252419716,377.9042046961471,395.46808250237683,408.58779554920824,426.09902417491696,439.31476564597153,457.5379713449477,468.6550647154125,487.6051264658082,496.8458277099182,516.2919770739568,529.1493687975766,543.9541125864513,571.8714686095611,573.7199307709456,610.5297827929234,628.8239932365784,645.2204636258888,679.8223345786366,683.008919752218
50.0,60.0,,,49.179026120785025,60.65570909971014,147.75757359582613,229.8602445692328,290.01761187920846,321.4560762399741,356.89717823757496,377.0642623561904,405.4724642084871,423.04063622961183,449.9787513157107,466.89188397018097,492.85895991381807,508.98346376104405,535.4641991701972,551.3315965001319,578.9583030333148,595.3559978819602,619.8414476385551,642.9601266289911,661.0125186186077,688.0387454822157,702.940912748112,726.0957520422768,760.4265692591928,776.4378831954077,814.0133912252439,839.5549804162798,878.5243954324119,872.0347070378342,940.3473083968586,952.3999543630107
60.0,70.0,,,57.7863158158465,94.7973185686311,267.49792025209604,341.89947968584806,387.0290331552848,412.51975038679177,454.21811057324385,479.46994247997986,521.3855217597851,545.2929676333958,585.5742193776431,610.3973314808792,649.4904676232285,676.012448457802,713.3909710028431,736.5802216559802,774.7826068255611,803.5910125840904,841.1704792163304,872.524075994384,906.7405142286115,938.4222384202038,973.8854209910883,1009.6691624936749,1042.9239503944116,1097.09995674586,1119.5390225684262,1179.9487919924475,1219.6738286158811,1259.9557141563278,1292.6877788480938,1365.1602590697587
