theta_min,theta_max,p_min,p_max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.0,10.0,0.0,,12.0517733,11.42809496,11.5101643,10.71828202,11.50030134,11.0107118,14.1377409,14.67601941,19.19766571,20.47628066,25.5278055,27.33516801,31.98567417,33.58383121,38.01381273,39.6147705,44.34638981,45.99940777,50.01154325,52.15551639,57.04784282,59.57387393,64.41771271,66.46058337,72.14957366,76.94138079,86.93238372,97.11444315,103.73770311,117.82743262,135.32528019,155.69613409,146.87999257,153.18469662
10.0,15.0,,,12.0714534,12.68319301,17.98857402,20.79436049,25.77938159,28.25773766,34.55345737,37.27795391,43.55390768,47.00432816,53.18687502,57.13116324,62.69002904,66.99705172,71.03946069,75.01865187,79.43936153,85.73330166,89.92137916,91.63739756,92.13532177,99.25993642,99.21866981,107.98815634,109.3445183,118.58299861,139.95308293,156.66207747,171.35629324,188.92498658,156.30993422,155.71517932,163.92667559,172.7897301
15.0,25.0,,,14.07076888,14.82465619,24.88200395,31.51967577,40.65527158,47.44560016,58.06111406,63.19160936,72.36968893,77.99408448,87.23474204,91.99532588,99.89084253,105.69558032,112.54625396,116.72870127,123.57794045,128.47894141,135.26094504,139.60350244,150.96332865,145.19956719,162.30869148,173.12069157,167.96401866,173.08809433,189.27232507,198.15373857,231.9995755,200.67711876,215.90250066,287.25397207,243.08196658,267.50410627
25.0,30.0,,,17.83324617,18.96013429,37.68935877,50.27240451,66.38080089,78.23420541,96.69666522,106.80434485,116.52538758,125.34377187,137.08282137,143.97385415,154.30687925,162.22592515,168.79156748,175.3046402,186.64674434,193.10401529,187.48037784,194.14668953,214.75465533,195.03381734,219.09558376,232.37028825,284.3469524,242.82621876,286.90881197,350.7378325,464.43592201,255.50191758,192.70006144,315.35466861,337.1538025,323.55559605
30.0,40.0,,,20.18886758,22.49165422,46.13562615,64.80776168,96.33459571,113.68339157,135.9454338,146.99762803,161.6755939,171.66350233,189.45752676,191.86131822,208.00432541,213.98961188,228.70901587,236.99913933,249.18225351,257.02088307,277.96708389,274.75412096,280.26634532,294.45181517,290.87023024,314.9125555,315.70140348,329.02359788,327.25501564,360.6913775,343.8903469,312.41554224,416.41854548,304.51400471,361.18014944,458.8003203
40.0,50.0,,,27.97172772,29.95019616,68.54381903,108.7705473,152.86188205,180.46602404,196.93853125,217.65062211,234.80564754,246.02556372,264.21529775,273.6653509,288.55706506,304.46654577,313.65679689,322.35454022,340.07492259,353.51141722,353.50305946,355.58892379,390.53834022,409.19107317,415.88728272,420.19445923,448.42085252,508.33733541,449.9635848,558.39572737,507.90958913,443.84287181,671.10845249,619.44333632,745.45020906,640.99155736
