theta_min,theta_max,p_min,p_max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.0,10.0,0.0,,14.449364639134895,14.027141181218948,16.686981545999675,19.68735395987109,23.546446191137854,25.216163398486813,29.79481766645416,30.63025982350219,35.572688675039345,35.91946523866931,39.90165530417973,39.72209113547733,42.67014265721132,42.38495148538066,45.21752995903241,45.429996768033654,48.615222616169575,49.60890423776967,53.24314446807458,54.36637043817918,58.560707459192294,60.609689454176866,65.68520975298492,67.23809332001326,72.90603615687847,77.81155506287465,86.95371534746155,96.3692595581573,111.01094044842367,126.46513097018354,143.5831013721284,155.1400701483593,152.01736487184314,163.67400506945972
10.0,15.0,,,14.39863448910946,15.084576760130659,21.303806055528625,26.700375848070752,32.69509421174062,34.93116279161518,40.240598922693934,41.1357680286798,46.91009248653254,48.70414103289634,53.90440134668531,55.352537234598785,60.6048430673121,61.75912359473792,66.2853967301839,68.89292295750228,72.81401242831406,73.72807363993246,79.99288157885141,79.84193591911922,87.30297679006762,92.64083919379449,98.63424563483231,99.87896370623295,103.18311713779778,111.63221922660105,138.6005534704447,158.01432827921457,180.70969075683766,172.8509217329863,199.9188574313573,215.05897422207622,211.9011311486143,219.3781763732627
15.0,25.0,,,15.899413627976557,16.748065848149924,27.03032012757271,35.50970812650653,44.70633220821062,49.32710465389936,57.388902302133324,60.861567778685725,68.33752323666309,72.47480322737502,79.57886829463301,82.95288077055686,91.9077481032497,95.06903135502002,101.44314017089884,106.54345118104963,112.7429597872349,118.22630007012621,127.5426038885056,129.35797404942934,140.13336731292273,143.18938252190188,152.97264623840655,162.3392774558134,168.39510450208303,190.23257446613465,215.82617496297462,196.29792468234817,215.84205256621607,263.9588395996313,281.37925351590496,238.5140177941425,269.71714933006086,214.0437572583737
25.0,30.0,,,19.20053274984577,21.35315162054464,35.80187273797849,48.28488015124063,63.24076955844085,73.53678104958928,87.80082228668877,95.67721910572082,108.93269305439452,117.23278011008001,128.88213210671526,140.1198666204696,151.21398231681354,157.80411429818392,176.76506080374756,185.3617048830634,190.7594697046374,205.4013420903934,210.5966667665158,213.4022602629135,236.9862112370015,247.05116642360528,257.89260577433834,250.0491018096649,269.677966138488,307.49327111994404,294.75168765952,290.3863651144688,376.0503719545232,341.0606404930577,392.9604823351957,394.8040270727351,324.8491512656825,383.20580929031354
30.0,40.0,,,22.15004591798373,24.042361093661267,44.77232408472238,63.15391940182323,87.9827277777437,104.48095260858527,125.13986138156966,139.16111014362306,157.93007673898472,172.2507966358965,191.5236982828227,205.95399533826898,221.16068517739785,232.44385688812653,244.9829218027498,255.32606742655452,270.4618305984455,276.21141050524477,290.34444528478883,303.9074653575872,310.7032312145737,316.0224081566412,335.58966807221253,353.8488392012674,365.27193067095516,362.9845044991774,353.7992066020636,399.7317198927501,423.1387183423225,432.3778971860121,483.14769466129434,433.1899773890642,437.5720859377395,417.37616867826296
40.0,50.0,,,24.492241994859494,27.888491987769353,59.888769960571,97.06745071672643,140.97025934343054,166.08184257327827,198.55228715271068,223.81256123006412,249.8028591103602,265.6849591630778,285.9451753012162,301.5029339965173,321.18566675913195,331.70874716981456,349.2744733363497,360.9546815569571,375.3805449292228,397.33404850496265,407.1881125615844,419.67430788985155,439.7859211718174,451.1694583177483,456.5020565585721,461.8365960372563,493.2317211051015,533.3415534734854,507.8776842118938,496.0187389105652,575.5239485405324,597.284976754816,595.0392568687257,624.5578858319565,615.6557382197537,526.5433339920601
50.0,60.0,,,29.851840166866257,36.705498758963316,91.76638127954793,162.14428590453988,226.1944292714995,262.70219841519713,299.1574075986008,319.75043169374186,352.1756006549854,366.3375116414737,391.88386216677264,409.4720137754591,436.31356643494405,455.80647920177444,481.2475388306877,498.72819848287213,521.6037732247247,537.1197155133301,562.7635246291935,575.4811769650173,611.0788340237194,617.3616726527371,622.2230098560353,636.0907232824675,682.9588663949688,701.9712364782308,713.4470128792775,771.3616971990904,784.4929188927842,933.7917389865479,904.7791904448237,845.383685478001,846.4340578548985,720.65847650225
60.0,70.0,,,36.801125647173734,60.56795891941663,208.3102699423183,291.3305785748896,338.7740974220886,365.6852806943066,403.9232054181449,430.9583710714295,470.14321210864307,495.26943858398045,537.9129552878944,562.1367814069608,602.4702139164646,626.9542452769207,661.3684084627652,686.9381719375413,726.5956376149718,748.2205911556764,802.047525560714,839.1566569940501,868.1512223692932,884.1712520911026,928.2493371856082,942.3910571143705,1007.3376675012257,1021.5658228699544,1059.553849777972,1046.528652626241,935.0059136915853,1439.460321640423,1326.0474978387704,nan,1340.903319727807,1357.9716807843781
